Bruinbase> Bruinbase> Bruinbase> { key: 2, pid: 1277 | 3 } 
{ key: 303, pid: 258 | 0 } 
{ key: 304, pid: 1315 | 4 } 
{ key: 305, pid: 377 | 5 } 
{ key: 308, pid: 738 | 3 } 
{ key: 309, pid: 758 | 5 } 
{ key: 316, pid: 254 | 3 } 
{ key: 318, pid: 932 | 3 } 
{ key: 319, pid: 258 | 6 } 
{ key: 320, pid: 641 | 2 } 
{ key: 321, pid: 278 | 5 } 
{ key: 322, pid: 72 | 6 } 
{ key: 323, pid: 267 | 1 } 
{ key: 324, pid: 54 | 0 } 
{ key: 325, pid: 392 | 1 } 
{ key: 326, pid: 783 | 3 } 
{ key: 327, pid: 312 | 3 } 
{ key: 328, pid: 39 | 3 } 
{ key: 331, pid: 1294 | 8 } 
{ key: 333, pid: 1264 | 7 } 
{ key: 336, pid: 1315 | 8 } 
{ key: 337, pid: 260 | 8 } 
{ key: 338, pid: 127 | 3 } 
{ key: 339, pid: 89 | 3 } 
{ key: 340, pid: 133 | 6 } 
{ key: 341, pid: 563 | 6 } 
{ key: 343, pid: 9 | 7 } 
{ key: 344, pid: 466 | 3 } 
{ key: 345, pid: 285 | 0 } 
{ key: 346, pid: 957 | 8 } 
{ key: 347, pid: 697 | 4 } 
{ key: 349, pid: 964 | 8 } 
{ key: 350, pid: 690 | 4 } 
{ key: 351, pid: 785 | 5 } 
{ key: 352, pid: 146 | 8 } 
{ key: 354, pid: 1113 | 1 } 
{ key: 355, pid: 808 | 1 } 
{ key: 357, pid: 488 | 0 } 
{ key: 359, pid: 138 | 3 } 
{ key: 360, pid: 1282 | 4 } 
{ key: 362, pid: 1092 | 0 } 
{ key: 364, pid: 139 | 2 } 
{ key: 365, pid: 473 | 6 } 
{ key: 366, pid: 549 | 3 } 
{ key: 367, pid: 1172 | 7 } 
{ key: 368, pid: 133 | 8 } 
{ key: 371, pid: 898 | 3 } 
{ key: 372, pid: 117 | 2 } 
{ key: 374, pid: 490 | 5 } 
{ key: 375, pid: 668 | 1 } 
{ key: 376, pid: 1127 | 5 } 
{ key: 377, pid: 1050 | 1 } 
{ key: 378, pid: 298 | 1 } 
{ key: 379, pid: 1355 | 7 } 
{ key: 380, pid: 593 | 3 } 
{ key: 382, pid: 301 | 8 } 
{ key: 384, pid: 1202 | 0 } 
{ key: 385, pid: 685 | 4 } 
{ key: 386, pid: 308 | 7 } 
{ key: 387, pid: 595 | 3 } 
{ key: 388, pid: 1050 | 0 } 
{ key: 389, pid: 1192 | 2 } 
{ key: 390, pid: 1199 | 3 } 
{ key: 392, pid: 1211 | 7 } 
{ key: 393, pid: 1277 | 2 } 
{ key: 395, pid: 963 | 0 } 
{ key: 396, pid: 333 | 6 } 
{ key: 397, pid: 1022 | 8 } 
{ key: 398, pid: 1156 | 2 } 
{ key: 399, pid: 512 | 8 } 
{ key: 400, pid: 450 | 5 } 
{ key: 402, pid: 731 | 4 } 
{ key: 403, pid: 1311 | 0 } 
{ key: 405, pid: 803 | 6 } 
{ key: 407, pid: 558 | 2 } 
{ key: 408, pid: 230 | 0 } 
{ key: 409, pid: 816 | 5 } 
{ key: 410, pid: 472 | 4 } 
{ key: 412, pid: 711 | 2 } 
{ key: 413, pid: 1216 | 0 } 
{ key: 415, pid: 1345 | 4 } 
{ key: 416, pid: 1205 | 5 } 
{ key: 418, pid: 922 | 4 } 
{ key: 420, pid: 613 | 8 } 
{ key: 421, pid: 741 | 5 } 
{ key: 422, pid: 1289 | 7 } 
{ key: 423, pid: 1000 | 7 } 
{ key: 424, pid: 1335 | 0 } 
{ key: 425, pid: 485 | 0 } 
{ key: 427, pid: 428 | 4 } 
{ key: 428, pid: 1283 | 7 } 
{ key: 430, pid: 976 | 2 } 
{ key: 431, pid: 224 | 7 } 
{ key: 433, pid: 670 | 7 } 
{ key: 435, pid: 1035 | 3 } 
{ key: 436, pid: 980 | 7 } 
{ key: 437, pid: 526 | 3 } 
{ key: 439, pid: 29 | 8 } 
{ key: 440, pid: 1014 | 3 } 
{ key: 442, pid: 748 | 7 } 
{ key: 443, pid: 339 | 6 } 
{ key: 444, pid: 957 | 2 } 
{ key: 445, pid: 482 | 0 } 
{ key: 447, pid: 403 | 5 } 
{ key: 448, pid: 949 | 3 } 
{ key: 450, pid: 857 | 3 } 
{ key: 452, pid: 1211 | 5 } 
{ key: 453, pid: 486 | 5 } 
{ key: 454, pid: 1101 | 7 } 
{ key: 457, pid: 577 | 5 } 
{ key: 458, pid: 445 | 5 } 
{ key: 459, pid: 213 | 3 } 
{ key: 460, pid: 1318 | 1 } 
{ key: 462, pid: 982 | 5 } 
{ key: 463, pid: 626 | 8 } 
{ key: 464, pid: 188 | 7 } 
{ key: 465, pid: 667 | 8 } 
{ key: 467, pid: 241 | 6 } 
{ key: 468, pid: 865 | 5 } 
{ key: 471, pid: 233 | 1 } 
{ key: 472, pid: 764 | 7 } 
{ key: 474, pid: 19 | 7 } 
{ key: 477, pid: 490 | 7 } 
{ key: 479, pid: 427 | 6 } 
{ key: 480, pid: 1123 | 2 } 
{ key: 481, pid: 636 | 3 } 
{ key: 484, pid: 555 | 7 } 
{ key: 485, pid: 544 | 8 } 
{ key: 486, pid: 111 | 1 } 
{ key: 489, pid: 539 | 5 } 
{ key: 490, pid: 388 | 0 } 
{ key: 491, pid: 1246 | 4 } 
{ key: 492, pid: 403 | 6 } 
{ key: 493, pid: 548 | 8 } 
{ key: 496, pid: 993 | 4 } 
{ key: 501, pid: 1263 | 5 } 
{ key: 502, pid: 616 | 1 } 
{ key: 503, pid: 1203 | 5 } 
{ key: 504, pid: 1346 | 5 } 
{ key: 505, pid: 455 | 1 } 
{ key: 507, pid: 240 | 5 } 
{ key: 509, pid: 1280 | 1 } 
{ key: 510, pid: 74 | 0 } 
{ key: 513, pid: 708 | 6 } 
{ key: 514, pid: 1081 | 5 } 
{ key: 515, pid: 296 | 4 } 
{ key: 516, pid: 195 | 1 } 
{ key: 517, pid: 1045 | 0 } 
{ key: 520, pid: 284 | 3 } 
{ key: 521, pid: 686 | 1 } 
{ key: 522, pid: 857 | 7 } 
{ key: 523, pid: 860 | 4 } 
{ key: 524, pid: 1144 | 2 } 
{ key: 526, pid: 904 | 7 } 
{ key: 527, pid: 525 | 1 } 
{ key: 528, pid: 79 | 4 } 
{ key: 529, pid: 313 | 6 } 
{ key: 530, pid: 135 | 3 } 
{ key: 532, pid: 1024 | 3 } 
{ key: 533, pid: 626 | 3 } 
{ key: 534, pid: 572 | 5 } 
{ key: 536, pid: 37 | 1 } 
{ key: 537, pid: 668 | 2 } 
{ key: 540, pid: 1335 | 5 } 
{ key: 542, pid: 1301 | 7 } 
{ key: 543, pid: 486 | 4 } 
{ key: 544, pid: 954 | 5 } 
{ key: 546, pid: 1025 | 3 } 
{ key: 548, pid: 1140 | 2 } 
{ key: 549, pid: 483 | 7 } 
{ key: 550, pid: 1022 | 0 } 
{ key: 551, pid: 179 | 6 } 
{ key: 552, pid: 786 | 8 } 
{ key: 553, pid: 700 | 6 } 
{ key: 555, pid: 782 | 1 } 
{ key: 556, pid: 1155 | 1 } 
{ key: 557, pid: 1052 | 1 } 
{ key: 558, pid: 933 | 3 } 
{ key: 561, pid: 1174 | 7 } 
{ key: 562, pid: 653 | 4 } 
{ key: 563, pid: 359 | 0 } 
{ key: 564, pid: 277 | 8 } 
{ key: 565, pid: 919 | 2 } 
{ key: 566, pid: 884 | 6 } 
{ key: 567, pid: 821 | 0 } 
{ key: 568, pid: 1182 | 7 } 
{ key: 569, pid: 977 | 5 } 
{ key: 570, pid: 1112 | 0 } 
{ key: 572, pid: 290 | 0 } 
{ key: 574, pid: 73 | 5 } 
{ key: 575, pid: 1276 | 8 } 
{ key: 576, pid: 487 | 3 } 
{ key: 577, pid: 1118 | 1 } 
{ key: 578, pid: 776 | 1 } 
{ key: 579, pid: 435 | 3 } 
{ key: 581, pid: 1305 | 0 } 
{ key: 582, pid: 267 | 0 } 
{ key: 583, pid: 1255 | 3 } 
{ key: 584, pid: 132 | 3 } 
{ key: 585, pid: 1268 | 0 } 
{ key: 586, pid: 1018 | 3 } 
{ key: 587, pid: 267 | 6 } 
{ key: 588, pid: 638 | 6 } 
{ key: 589, pid: 554 | 3 } 
{ key: 590, pid: 47 | 4 } 
{ key: 592, pid: 209 | 6 } 
{ key: 593, pid: 1012 | 4 } 
{ key: 594, pid: 948 | 8 } 
{ key: 595, pid: 347 | 4 } 
{ key: 596, pid: 950 | 3 } 
{ key: 598, pid: 314 | 1 } 
{ key: 599, pid: 96 | 1 } 
{ key: 600, pid: 1257 | 7 } 
{ key: 602, pid: 1174 | 8 } 
{ key: 603, pid: 1098 | 7 } 
{ key: 604, pid: 1047 | 5 } 
{ key: 605, pid: 178 | 7 } 
{ key: 606, pid: 29 | 4 } 
{ key: 607, pid: 75 | 4 } 
{ key: 608, pid: 257 | 6 } 
{ key: 609, pid: 508 | 0 } 
{ key: 610, pid: 647 | 0 } 
{ key: 611, pid: 616 | 5 } 
{ key: 613, pid: 336 | 1 } 
{ key: 614, pid: 334 | 2 } 
{ key: 615, pid: 348 | 4 } 
{ key: 616, pid: 1194 | 8 } 
{ key: 617, pid: 454 | 2 } 
{ key: 619, pid: 494 | 5 } 
{ key: 620, pid: 1057 | 5 } 
{ key: 621, pid: 472 | 1 } 
{ key: 622, pid: 779 | 8 } 
{ key: 623, pid: 356 | 5 } 
{ key: 625, pid: 118 | 7 } 
{ key: 626, pid: 1213 | 4 } 
{ key: 628, pid: 457 | 1 } 
{ key: 629, pid: 1205 | 2 } 
{ key: 630, pid: 1229 | 7 } 
{ key: 631, pid: 930 | 8 } 
{ key: 634, pid: 534 | 8 } 
{ key: 635, pid: 867 | 1 } 
{ key: 637, pid: 147 | 3 } 
{ key: 638, pid: 1136 | 2 } 
{ key: 639, pid: 189 | 1 } 
{ key: 640, pid: 119 | 4 } 
{ key: 641, pid: 741 | 4 } 
{ key: 642, pid: 272 | 3 } 
{ key: 644, pid: 1051 | 6 } 
{ key: 646, pid: 1236 | 6 } 
{ key: 647, pid: 281 | 2 } 
{ key: 648, pid: 132 | 5 } 
{ key: 649, pid: 274 | 2 } 
{ key: 650, pid: 590 | 8 } 
{ key: 651, pid: 24 | 5 } 
{ key: 652, pid: 345 | 5 } 
{ key: 653, pid: 884 | 0 } 
{ key: 654, pid: 435 | 6 } 
{ key: 656, pid: 27 | 5 } 
{ key: 657, pid: 196 | 1 } 
{ key: 658, pid: 156 | 0 } 
{ key: 659, pid: 137 | 1 } 
{ key: 660, pid: 685 | 1 } 
{ key: 661, pid: 195 | 0 } 
{ key: 663, pid: 1358 | 4 } 
{ key: 664, pid: 197 | 6 } 
{ key: 665, pid: 1351 | 2 } 
{ key: 666, pid: 664 | 3 } 
{ key: 667, pid: 989 | 5 } 
{ key: 668, pid: 1020 | 2 } 
{ key: 669, pid: 875 | 4 } 
{ key: 670, pid: 930 | 3 } 
{ key: 671, pid: 857 | 1 } 
{ key: 672, pid: 696 | 6 } 
{ key: 673, pid: 794 | 6 } 
{ key: 676, pid: 272 | 8 } 
{ key: 677, pid: 445 | 2 } 
{ key: 678, pid: 293 | 3 } 
{ key: 679, pid: 528 | 7 } 
{ key: 680, pid: 7 | 8 } 
{ key: 682, pid: 954 | 3 } 
{ key: 683, pid: 301 | 6 } 
{ key: 684, pid: 1360 | 1 } 
{ key: 685, pid: 1226 | 7 } 
{ key: 686, pid: 793 | 8 } 
{ key: 687, pid: 496 | 8 } 
{ key: 688, pid: 1126 | 4 } 
{ key: 691, pid: 245 | 6 } 
{ key: 692, pid: 411 | 6 } 
{ key: 693, pid: 1119 | 5 } 
{ key: 694, pid: 1133 | 2 } 
{ key: 695, pid: 540 | 0 } 
{ key: 696, pid: 510 | 1 } 
{ key: 697, pid: 1338 | 8 } 
{ key: 699, pid: 893 | 8 } 
{ key: 703, pid: 1237 | 6 } 
{ key: 705, pid: 1215 | 2 } 
{ key: 706, pid: 259 | 1 } 
{ key: 708, pid: 1124 | 0 } 
{ key: 709, pid: 1170 | 4 } 
{ key: 710, pid: 1348 | 3 } 
{ key: 712, pid: 987 | 2 } 
{ key: 714, pid: 1358 | 3 } 
{ key: 715, pid: 606 | 5 } 
{ key: 716, pid: 991 | 6 } 
{ key: 719, pid: 1327 | 4 } 
{ key: 720, pid: 1043 | 2 } 
{ key: 721, pid: 1229 | 0 } 
{ key: 722, pid: 685 | 8 } 
{ key: 724, pid: 923 | 6 } 
{ key: 725, pid: 258 | 3 } 
{ key: 726, pid: 1300 | 0 } 
{ key: 728, pid: 891 | 2 } 
{ key: 729, pid: 537 | 3 } 
{ key: 730, pid: 154 | 6 } 
{ key: 731, pid: 809 | 4 } 
{ key: 732, pid: 402 | 2 } 
{ key: 734, pid: 165 | 5 } 
{ key: 736, pid: 201 | 6 } 
{ key: 739, pid: 418 | 5 } 
{ key: 743, pid: 841 | 0 } 
{ key: 744, pid: 883 | 6 } 
{ key: 746, pid: 891 | 5 } 
{ key: 747, pid: 255 | 7 } 
{ key: 748, pid: 700 | 8 } 
{ key: 750, pid: 130 | 7 } 
{ key: 751, pid: 18 | 7 } 
{ key: 752, pid: 371 | 1 } 
{ key: 754, pid: 1084 | 1 } 
{ key: 755, pid: 579 | 5 } 
{ key: 757, pid: 1131 | 4 } 
{ key: 758, pid: 221 | 7 } 
{ key: 759, pid: 1290 | 1 } 
{ key: 760, pid: 865 | 3 } 
{ key: 761, pid: 126 | 6 } 
{ key: 762, pid: 361 | 7 } 
{ key: 763, pid: 951 | 0 } 
{ key: 767, pid: 71 | 2 } 
{ key: 768, pid: 543 | 8 } 
{ key: 770, pid: 1052 | 5 } 
{ key: 771, pid: 1022 | 4 } 
{ key: 772, pid: 426 | 4 } 
{ key: 773, pid: 613 | 4 } 
{ key: 774, pid: 666 | 4 } 
{ key: 775, pid: 1120 | 4 } 
{ key: 777, pid: 1256 | 3 } 
{ key: 781, pid: 1336 | 4 } 
{ key: 782, pid: 1160 | 3 } 
{ key: 783, pid: 1279 | 6 } 
{ key: 784, pid: 813 | 5 } 
{ key: 785, pid: 878 | 8 } 
{ key: 787, pid: 683 | 4 } 
{ key: 788, pid: 1149 | 8 } 
{ key: 789, pid: 1290 | 0 } 
{ key: 790, pid: 1325 | 6 } 
{ key: 792, pid: 38 | 7 } 
{ key: 793, pid: 948 | 6 } 
{ key: 794, pid: 15 | 3 } 
{ key: 796, pid: 545 | 1 } 
{ key: 798, pid: 797 | 2 } 
{ key: 799, pid: 706 | 8 } 
{ key: 800, pid: 721 | 0 } 
{ key: 801, pid: 244 | 3 } 
{ key: 802, pid: 634 | 4 } 
{ key: 804, pid: 759 | 1 } 
{ key: 805, pid: 1103 | 2 } 
{ key: 806, pid: 583 | 1 } 
{ key: 808, pid: 287 | 1 } 
{ key: 809, pid: 439 | 8 } 
{ key: 810, pid: 869 | 8 } 
{ key: 811, pid: 370 | 1 } 
{ key: 812, pid: 549 | 4 } 
{ key: 813, pid: 272 | 6 } 
{ key: 814, pid: 821 | 5 } 
{ key: 817, pid: 94 | 8 } 
{ key: 819, pid: 1330 | 5 } 
{ key: 820, pid: 753 | 7 } 
{ key: 821, pid: 426 | 7 } 
{ key: 822, pid: 108 | 3 } 
{ key: 825, pid: 523 | 4 } 
{ key: 826, pid: 524 | 1 } 
{ key: 827, pid: 589 | 2 } 
{ key: 828, pid: 775 | 8 } 
{ key: 829, pid: 57 | 3 } 
{ key: 830, pid: 10 | 5 } 
{ key: 832, pid: 1266 | 5 } 
{ key: 834, pid: 768 | 0 } 
{ key: 835, pid: 670 | 0 } 
{ key: 836, pid: 122 | 1 } 
{ key: 837, pid: 1073 | 7 } 
{ key: 838, pid: 1027 | 1 } 
{ key: 839, pid: 1059 | 6 } 
{ key: 841, pid: 883 | 4 } 
{ key: 842, pid: 86 | 8 } 
{ key: 843, pid: 1290 | 4 } 
{ key: 844, pid: 599 | 4 } 
{ key: 845, pid: 230 | 5 } 
{ key: 846, pid: 956 | 4 } 
{ key: 847, pid: 490 | 6 } 
{ key: 848, pid: 1208 | 6 } 
{ key: 849, pid: 815 | 7 } 
{ key: 851, pid: 1107 | 5 } 
{ key: 853, pid: 663 | 2 } 
{ key: 855, pid: 260 | 6 } 
{ key: 856, pid: 1155 | 0 } 
{ key: 857, pid: 724 | 7 } 
{ key: 858, pid: 150 | 0 } 
{ key: 861, pid: 1303 | 3 } 
{ key: 864, pid: 574 | 8 } 
{ key: 865, pid: 1059 | 3 } 
{ key: 866, pid: 159 | 5 } 
{ key: 867, pid: 208 | 8 } 
{ key: 868, pid: 255 | 1 } 
{ key: 869, pid: 886 | 0 } 
{ key: 871, pid: 152 | 3 } 
{ key: 872, pid: 976 | 7 } 
{ key: 873, pid: 1015 | 2 } 
{ key: 875, pid: 1230 | 1 } 
{ key: 878, pid: 1308 | 7 } 
{ key: 879, pid: 229 | 4 } 
{ key: 880, pid: 636 | 8 } 
{ key: 881, pid: 434 | 4 } 
{ key: 882, pid: 117 | 3 } 
{ key: 883, pid: 818 | 5 } 
{ key: 884, pid: 488 | 8 } 
{ key: 885, pid: 52 | 3 } 
{ key: 887, pid: 937 | 5 } 
{ key: 888, pid: 1278 | 4 } 
{ key: 890, pid: 504 | 2 } 
{ key: 891, pid: 1240 | 7 } 
{ key: 892, pid: 732 | 7 } 
{ key: 893, pid: 134 | 7 } 
{ key: 894, pid: 773 | 8 } 
{ key: 895, pid: 1116 | 6 } 
{ key: 896, pid: 719 | 3 } 
{ key: 897, pid: 77 | 5 } 
{ key: 898, pid: 438 | 2 } 
{ key: 899, pid: 192 | 5 } 
{ key: 901, pid: 909 | 4 } 
{ key: 902, pid: 15 | 4 } 
{ key: 903, pid: 74 | 7 } 
{ key: 904, pid: 461 | 0 } 
{ key: 905, pid: 118 | 1 } 
{ key: 906, pid: 1140 | 0 } 
{ key: 907, pid: 101 | 2 } 
{ key: 908, pid: 582 | 8 } 
{ key: 909, pid: 914 | 2 } 
{ key: 910, pid: 79 | 5 } 
{ key: 911, pid: 404 | 0 } 
{ key: 912, pid: 718 | 1 } 
{ key: 913, pid: 900 | 5 } 
{ key: 915, pid: 897 | 3 } 
{ key: 918, pid: 165 | 2 } 
{ key: 919, pid: 61 | 5 } 
{ key: 922, pid: 281 | 3 } 
{ key: 923, pid: 1247 | 7 } 
{ key: 924, pid: 1302 | 0 } 
{ key: 925, pid: 757 | 8 } 
{ key: 926, pid: 1174 | 0 } 
{ key: 927, pid: 414 | 4 } 
{ key: 929, pid: 1291 | 5 } 
{ key: 932, pid: 207 | 3 } 
{ key: 934, pid: 802 | 1 } 
{ key: 936, pid: 1016 | 1 } 
{ key: 937, pid: 903 | 4 } 
{ key: 938, pid: 793 | 7 } 
{ key: 939, pid: 527 | 0 } 
{ key: 940, pid: 811 | 2 } 
{ key: 941, pid: 39 | 2 } 
{ key: 944, pid: 563 | 1 } 
{ key: 946, pid: 938 | 1 } 
{ key: 947, pid: 1054 | 2 } 
{ key: 949, pid: 490 | 0 } 
{ key: 950, pid: 269 | 1 } 
{ key: 952, pid: 1099 | 5 } 
{ key: 953, pid: 41 | 1 } 
{ key: 955, pid: 1258 | 2 } 
{ key: 956, pid: 1136 | 5 } 
{ key: 957, pid: 236 | 6 } 
{ key: 960, pid: 1083 | 6 } 
{ key: 961, pid: 470 | 0 } 
{ key: 964, pid: 158 | 3 } 
{ key: 966, pid: 685 | 5 } 
